Date,Open,High,Close,Volume,DayNumber,Month_Number,DayMonth,Year,FFT_Mag_Open_150,FFT_Angl_Open_150,FFT_Mag_High_150,FFT_Angl_High_150,FFT_Mag_Low_150,FFT_Angl_Low_150,FFT_Mag_Close_150,FFT_Angl_Close_150
2001-01-09,27.25,27.75,27.71999931335449,69916,1,100,9,2001,27.25,1.4262464154210759e-18,27.75,-5.774662721872564e-19,26.899999618530263,0.0,27.71999931335449,-3.337611388065857e-19
2001-01-10,27.75,29.60000038146973,29.5,93000,2,100,10,2001,27.75,0.0,29.60000038146973,0.0,27.70000076293945,0.0,29.500000000000004,0.0
2001-01-11,29.35000038146973,29.899999618530273,29.5,67374,3,100,11,2001,29.35000038146973,0.0,29.899999618530273,0.0,28.979999542236328,0.0,29.5,0.0
2001-01-12,29.5,30.20000076293945,30.04999923706055,47023,4,100,12,2001,29.5,3.121211853584841e-18,30.20000076293945,1.6338822613358476e-18,29.3700008392334,-2.407541559051244e-18,30.04999923706055,2.199913998295837e-19
