Date,Open,High,Low,Close,Volume,DayNumber,Month_Number,DayMonth,Year,FFT_Mag_Low_150,FFT_Angl_Low_150
2001-01-09,27.25,27.75,26.899999618530273,27.71999931335449,69916,1,100,9,2001,26.899999618530266,0.0
2001-01-10,27.75,29.60000038146973,27.70000076293945,29.5,93000,2,100,10,2001,27.700000762939446,0.0
2001-01-11,29.35000038146973,29.899999618530273,28.979999542236328,29.5,67374,3,100,11,2001,28.979999542236328,0.0
2001-01-12,29.5,30.20000076293945,29.3700008392334,30.04999923706055,47023,4,100,12,2001,29.3700008392334,-2.407541559051244e-18
