Date,High,Low,Close,DayNumber,Month_Number,DayMonth,Year,FFT_Mag_High_150,FFT_Angl_High_150,FFT_Mag_Low_150,FFT_Angl_Low_150,FFT_Mag_Close_150,FFT_Angl_Close_150
2001-01-09,27.75,26.899999618530273,27.71999931335449,1,100,9,2001,27.75,-5.774662721872564e-19,26.899999618530263,0.0,27.71999931335449,-3.337611388065857e-19
2001-01-10,29.60000038146973,27.70000076293945,29.5,2,100,10,2001,29.60000038146973,0.0,27.70000076293945,0.0,29.500000000000004,0.0
2001-01-11,29.899999618530273,28.979999542236328,29.5,3,100,11,2001,29.899999618530273,0.0,28.979999542236328,0.0,29.5,0.0
2001-01-12,30.20000076293945,29.3700008392334,30.04999923706055,4,100,12,2001,30.20000076293945,1.6338822613358476e-18,29.3700008392334,-2.407541559051244e-18,30.04999923706055,2.199913998295837e-19
2001-01-16,30.45000076293945,29.85000038146973,30.35000038146973,1,100,16,2001,30.45000076293945,-3.6460525346731794e-19,29.85000038146973,2.7041239201702188e-18,30.35000038146973,4.602731485103195e-18
2001-01-17,30.20000076293945,29.0,29.649999618530273,2,100,17,2001,30.20000076293945,0.0,29.0,0.0,29.649999618530284,0.0
2001-01-18,30.51000022888184,29.29999923706055,30.45000076293945,3,100,18,2001,30.51000022888184,-3.7905024865358885e-20,29.29999923706055,-1.5788154913739067e-18,30.45000076293945,2.354742261976428e-18
2001-01-19,32.400001525878906,30.20000076293945,32.09999847412109,4,100,19,2001,32.400001525878906,0.0,30.200000762939442,0.0,32.09999847412109,0.0
2001-01-22,32.700000762939446,31.75,32.0,0,100,22,2001,32.700000762939446,1.7780625384542825e-18,31.750000000000004,-1.2480347316502599e-18,32.0,3.3071111472224205e-18
2001-01-23,29.68000030517578,29.0,29.56999969482422,1,100,23,2001,29.68000030517577,2.884211680464941e-18,29.0,-1.7843898400920734e-18,29.56999969482422,-5.6999883912172706e-18
2001-01-24,29.81999969482422,28.63999938964844,29.04999923706055,2,100,24,2001,29.81999969482422,0.0,28.63999938964844,0.0,29.04999923706055,0.0
2001-01-25,29.53000068664551,28.79999923706055,29.36000061035156,3,100,25,2001,29.53000068664551,0.0,28.79999923706055,0.0,29.36000061035156,0.0
2001-01-26,29.989999771118164,29.31999969482422,29.78000068664551,4,100,26,2001,29.989999771118164,-2.6293520336274086e-18,29.31999969482422,2.103651349440766e-18,29.78000068664551,-9.097152932827958e-19
2001-01-29,30.149999618530273,28.86000061035156,29.059999465942386,0,100,29,2001,30.149999618530273,0.0,28.860000610351552,0.0,29.059999465942372,0.0
2001-01-30,29.34000015258789,28.68000030517578,29.059999465942386,1,100,30,2001,29.34000015258789,4.301961676775278e-18,28.68000030517578,-2.0029183738137566e-18,29.059999465942386,8.261256539789469e-18
2001-01-31,29.149999618530273,28.25,28.70000076293945,2,100,31,2001,29.149999618530284,1.96475491438277e-18,28.25,-6.052137780980836e-18,28.70000076293945,-1.0470832406330935e-17
2001-02-01,29.8700008392334,28.53000068664551,29.79999923706055,3,200,1,2001,29.87000083923341,-1.0635816352613378e-18,28.530000686645504,-2.0810809371658138e-18,29.799999237060547,-1.690406719940978e-18
2001-02-02,31.29999923706055,29.649999618530273,31.25,4,200,2,2001,31.29999923706055,0.0,29.649999618530284,0.0,31.249999999999996,0.0
2001-02-05,31.04999923706055,30.20000076293945,30.5,0,200,5,2001,31.04999923706055,-2.3837317271171256e-18,30.20000076293945,-3.0690280275894366e-18,30.5,5.053715199158216e-18
2001-02-06,30.899999618530273,30.15999984741211,30.35000038146973,1,200,6,2001,30.899999618530273,-1.7502684239906127e-18,30.15999984741211,2.821904992734922e-19,30.35000038146973,-1.8513436339107155e-18
2001-02-07,31.35000038146973,30.0,31.20000076293945,2,200,7,2001,31.35000038146973,2.1303504647978942e-18,30.0,2.1356678992388948e-18,31.20000076293945,-4.143000085682923e-18
2001-02-08,31.8799991607666,31.1200008392334,31.559999465942386,3,200,8,2001,31.8799991607666,9.489084461565455e-18,31.1200008392334,4.718792976993803e-18,31.559999465942386,9.724942040436908e-18
2001-02-09,31.399999618530273,30.85000038146973,31.04999923706055,4,200,9,2001,31.399999618530284,1.97293494978787e-18,30.85000038146973,-5.248322862361542e-18,31.04999923706055,-1.0127514629062184e-18
2001-02-12,31.04999923706055,30.399999618530273,30.54999923706055,0,200,12,2001,31.049999237060558,0.0,30.399999618530263,0.0,30.549999237060558,0.0
2001-02-13,30.399999618530273,29.71999931335449,30.34000015258789,1,200,13,2001,30.399999618530273,7.807044633032479e-18,29.71999931335449,-4.0145088665068845e-18,30.34000015258789,-4.4640771883210565e-18
2001-02-14,30.8799991607666,29.649999618530273,29.75,2,200,14,2001,30.87999916076659,0.0,29.64999961853027,0.0,29.75000000000001,0.0
2001-02-15,29.399999618530273,28.54999923706055,28.79999923706055,3,200,15,2001,29.399999618530273,0.0,28.54999923706055,0.0,28.79999923706055,-9.63735289961826e-19
2001-02-16,29.25,29.10000038146973,29.15999984741211,4,200,16,2001,29.25,2.1847967002651485e-18,29.10000038146973,-3.1508096247186393e-18,29.15999984741211,8.451307902942919e-18
2001-02-20,29.53000068664551,28.399999618530273,28.57999992370605,1,200,20,2001,29.53000068664551,1.8432654871731216e-18,28.39999961853027,6.60610078957649e-19,28.57999992370606,4.288697840392835e-18
2001-02-21,29.0,28.29999923706055,28.54999923706055,2,200,21,2001,29.0,-8.739938815180767e-19,28.299999237060558,4.133047688695751e-18,28.549999237060547,8.128884910307583e-19
