Date,High,Low,Close,DayNumber,Month_Number,DayMonth,Year,FFT_Mag_High_150,FFT_Angl_High_150,FFT_Mag_Low_150,FFT_Angl_Low_150
2001-01-09,27.75,26.899999618530273,27.71999931335449,1,100,9,2001,27.75,-5.774662721872564e-19,26.899999618530263,0.0
2001-01-10,29.60000038146973,27.70000076293945,29.5,2,100,10,2001,29.60000038146973,0.0,27.70000076293945,0.0
2001-01-11,29.899999618530273,28.979999542236328,29.5,3,100,11,2001,29.899999618530273,0.0,28.979999542236328,0.0
2001-01-12,30.20000076293945,29.3700008392334,30.04999923706055,4,100,12,2001,30.20000076293945,1.6338822613358476e-18,29.3700008392334,-2.407541559051244e-18
