,Open,High,Low,Close,Volume,Forcast
2024-08-18,75.41,75.665,75.117,75.257,1038,62.672413
2024-08-19,75.267,75.725,73.447,73.679,38147,63.26589
2024-08-20,73.669,74.334,72.523,73.066,38971,63.897568
2024-08-21,73.056,74.09,71.416,71.752,38317,64.11143
2024-08-22,71.751,73.434,71.529,73.018,39082,63.93475
2024-08-23,73.008,74.95,72.746,74.833,35500,63.461967
2024-08-25,74.982,75.259,74.853,75.21,1813,62.512024
2024-08-26,75.22,77.322,75.075,76.896,43143,62.852436
2024-08-27,76.886,77.163,75.124,75.52,47193,63.3379
2024-08-28,75.521,75.66,73.577,74.15,59770,63.54071
2024-08-29,74.142,76.455,73.7,75.286,58291,63.399475
2024-08-30,75.295,76.137,73.025,73.31,63720,63.01743
2024-09-01,73.151,73.164,72.571,72.581,855,62.730476
2024-09-02,72.589,73.915,72.486,73.309,35159,63.12569
2024-09-03,73.312,73.798,69.731,69.866,71201,63.43056
2024-09-04,69.866,71.02,68.469,68.897,78542,63.33425
2024-09-05,68.9,70.356,68.417,68.967,64570,62.862144
2024-09-06,68.964,69.705,66.778,67.698,69222,62.03892
2024-09-08,67.613,67.875,67.546,67.838,1222,60.697105
2024-09-09,67.835,68.398,66.831,68.211,69440,60.530647
2024-09-10,68.217,68.532,64.798,65.767,77109,60.659286
2024-09-11,65.764,67.348,65.138,66.727,79960,60.629364
2024-09-12,66.723,69.121,66.707,68.636,67681,60.33986
2024-09-13,68.644,69.531,67.75,68.481,56857,59.787033
2024-09-15,68.328,68.538,68.004,68.009,851,58.721752
2024-09-16,67.999,69.717,67.801,69.363,51014,58.908844
2024-09-17,69.362,70.733,68.589,69.956,47614,59.317642
2024-09-18,69.965,70.333,68.617,69.39,65315,59.4925
2024-09-19,69.38,71.529,69.168,71.009,39771,59.388702
2024-09-20,71.029,71.406,70.343,71.204,33327,59.003128
2024-09-22,71.195,71.275,70.795,70.933,972,58.08563
2024-09-23,70.934,71.691,69.391,70.504,49177,58.47684
2024-09-24,70.504,72.264,70.332,71.451,46866,59.140167
2024-09-25,71.461,71.6,69.145,69.458,63414,59.48814
2024-09-26,69.468,69.88,66.844,67.222,87980,59.401344
2024-09-27,67.223,68.504,66.942,68.48,68513,59.173466
2024-09-29,68.397,68.431,67.712,68.105,1872,58.27233
2024-09-30,68.115,69.147,67.42,68.157,72567,58.73239
