,Open,High,Low,Close,Volume,Forcast,Forcast_Direction,Real_Direction,Result,diff_right,diff_wrong
2024-02-05,72.75,73.27999877929688,71.41000366210938,72.77999877929688,350843.0,72.24697875976562,null,null,null,0.0,0.0
2024-02-06,72.76000213623047,73.81999969482422,72.37999725341797,73.30999755859375,310955.0,72.90151977539062,Up,Up,1,0.5500030517578125,0.0
2024-02-07,73.5,74.22000122070312,73.2300033569336,73.86000061035156,294955.0,73.6270751953125,Up,Up,1,2.3600006103515625,0.0
2024-02-08,74.08000183105469,76.58999633789062,73.55999755859375,76.22000122070312,377906.0,75.7049789428711,Up,Up,1,0.6199951171875,0.0
2024-02-09,76.41999816894531,77.29000091552734,75.93000030517578,76.83999633789062,302612.0,76.67184448242188,Up,Up,1,0.0800018310546875,0.0
2024-02-12,76.5999984741211,77.08999633789062,75.54000091552734,76.91999816894531,248476.0,76.675048828125,Up,Up,1,0.9500045776367188,0.0
2024-02-13,77.02999877929688,78.47000122070312,76.87000274658203,77.87000274658203,338174.0,78.12176513671875,Up,Down,0,0.0,1.2300033569335938
2024-02-14,77.80999755859375,78.7699966430664,76.37999725341797,76.63999938964844,296131.0,77.64701080322266,Down,Up,0,0.0,1.3899993896484375
2024-02-15,76.5999984741211,78.44000244140625,75.77999877929688,78.02999877929688,122432.0,77.77159881591797,Up,Up,1,1.160003662109375,0.0
2024-02-16,78.11000061035156,79.3499984741211,77.22000122070312,79.19000244140625,113713.0,78.74468231201172,Up,Down,0,0.0,1.0100021362304688
2024-02-20,78.9800033569336,79.80000305175781,77.66999816894531,78.18000030517578,435235.0,78.82298278808594,Up,Down,0,0.0,0.26999664306640625
2024-02-21,77.1500015258789,78.08000183105469,76.31999969482422,77.91000366210938,323243.0,77.50056457519531,Down,Up,0,0.0,0.6999969482421875
2024-02-22,78.08999633789062,78.91999816894531,77.2300033569336,78.61000061035156,330511.0,78.2529067993164,Up,Down,0,0.0,2.1200027465820312
2024-02-23,78.37000274658203,78.38999938964844,76.3499984741211,76.48999786376953,353437.0,76.97880554199219,Down,Up,0,0.0,1.0900039672851562
2024-02-26,76.4000015258789,78.02999877929688,75.83999633789062,77.58000183105469,274710.0,77.4306869506836,Up,Up,1,1.2900009155273438,0.0
2024-02-27,77.62000274658203,79.0,77.16999816894531,78.87000274658203,269236.0,78.65613555908203,Up,Down,0,0.0,0.3300018310546875
2024-02-28,78.4800033569336,79.62000274658203,77.77999877929688,78.54000091552734,330043.0,78.9864501953125,Up,Down,0,0.0,0.279998779296875
2024-02-29,78.19999694824219,79.27999877929688,77.94000244140625,78.26000213623047,317939.0,78.6104736328125,Down,Up,0,0.0,1.7099990844726562
2024-03-01,78.27999877929688,80.8499984741211,78.05000305175781,79.97000122070312,363417.0,80.9294204711914,Up,Down,0,0.0,1.2300033569335938
2024-03-04,80.13999938964844,80.41000366210938,78.55999755859375,78.73999786376953,347214.0,79.47340393066406,Down,Down,1,0.589996337890625,0.0
2024-03-05,78.73999786376953,79.48999786376953,77.5199966430664,78.1500015258789,436521.0,78.50389099121094,Down,Up,0,0.0,0.9799957275390625
2024-03-06,78.1500015258789,80.66999816894531,77.98999786376953,79.12999725341797,371049.0,79.3743667602539,Up,Down,0,0.0,0.1999969482421875
2024-03-07,79.12999725341797,79.52999877929688,78.0199966430664,78.93000030517578,432923.0,78.44679260253906,Down,Down,1,0.9199981689453125,0.0
2024-03-08,79.51000213623047,79.98999786376953,77.55999755859375,78.01000213623047,347533.0,78.24185180664062,Down,Down,1,0.0800018310546875,0.0
2024-03-11,77.80000305175781,78.47000122070312,76.79000091552734,77.93000030517578,329873.0,77.58061218261719,Down,Down,1,0.37000274658203125,0.0
2024-03-12,78.08999633789062,78.7300033569336,77.33999633789062,77.55999755859375,309922.0,77.92388153076172,Up,Up,1,2.160003662109375,0.0
2024-03-13,78.05999755859375,79.9000015258789,77.56999969482422,79.72000122070312,316390.0,79.35065460205078,Up,Up,1,1.5400009155273438,0.0
2024-03-14,79.62999725341797,81.62000274658203,79.56999969482422,81.26000213623047,297450.0,81.92787170410156,Up,Down,0,0.0,0.220001220703125
2024-03-15,81.13999938964844,81.44999694824219,80.48999786376953,81.04000091552734,185078.0,81.30229187011719,Down,Up,0,0.0,1.6800003051757812
2024-03-18,81.02999877929688,83.08999633789062,81.01000213623047,82.72000122070312,84718.0,83.18281555175781,Up,Up,1,0.75,0.0
2024-03-19,82.8499984741211,83.8499984741211,82.38999938964844,83.47000122070312,76814.0,83.99569702148438,Up,Down,0,0.0,1.7900009155273438
