,Open,High,Low,Close,Volume,Forcast,Forcast_Direction,Real_Direction,Result,diff_right,diff_wrong
2024-08-07,,,,,,65.14175,null,null,null,0.0,0.0
2024-08-08,,,,,,65.61403,Up,equal,0,0.0,
2024-08-09,,,,,,66.0604,Up,equal,0,0.0,
2024-08-11,,,,,,66.31597,Up,equal,0,0.0,
2024-08-12,,,,,,66.551926,Up,equal,0,0.0,
2024-08-13,,,,,,67.029526,Up,equal,0,0.0,
2024-08-14,,,,,,67.01412,Down,equal,0,0.0,
2024-08-15,76.222,77.541,75.897,76.89,46232.0,66.90169,Down,Down,1,1.3260000000000076,0.0
2024-08-16,76.894,77.055,74.627,75.564,47216.0,66.5383,Down,Down,1,0.30699999999998795,0.0
2024-08-18,75.41,75.665,75.117,75.257,1038.0,66.389534,Down,Down,1,1.578000000000003,0.0
2024-08-19,75.267,75.725,73.447,73.679,38147.0,65.93689,Down,Down,1,0.6129999999999995,0.0
2024-08-20,73.669,74.334,72.523,73.066,38971.0,65.51206,Down,Down,1,1.3140000000000072,0.0
2024-08-21,73.056,74.09,71.416,71.752,38317.0,64.95794,Down,Up,0,0.0,1.2660000000000053
2024-08-22,71.751,73.434,71.529,73.018,39082.0,64.71037,Down,Up,0,0.0,1.8149999999999977
2024-08-23,73.008,74.95,72.746,74.833,35500.0,64.78849,Up,Up,1,0.37699999999999534,0.0
2024-08-25,74.982,75.259,74.853,75.21,1813.0,65.22974,Up,Up,1,1.686000000000007,0.0
2024-08-26,75.22,77.322,75.075,76.896,43143.0,65.61833,Up,Down,0,0.0,1.3760000000000048
2024-08-27,76.886,77.163,75.124,75.52,47193.0,65.87679,Up,Down,0,0.0,1.3699999999999903
2024-08-28,75.521,75.66,73.577,74.15,59770.0,65.6533,Down,Up,0,0.0,1.1359999999999957
2024-08-29,74.142,76.455,73.7,75.286,58291.0,65.42202,Down,Down,1,1.975999999999999,0.0
2024-08-30,75.295,76.137,73.025,73.31,63720.0,65.06275,Down,Down,1,0.7289999999999992,0.0
2024-09-01,73.151,73.164,72.571,72.581,855.0,65.23223,Up,Up,1,0.7279999999999944,0.0
2024-09-02,72.589,73.915,72.486,73.309,35159.0,65.26294,Up,Down,0,0.0,3.442999999999998
2024-09-03,73.312,73.798,69.731,69.866,71201.0,,equal,Down,0,0.0,0.9689999999999941
2024-09-04,69.866,71.02,68.469,68.897,78542.0,64.45122,equal,Up,0,0.0,0.06999999999999318
2024-09-05,68.9,70.356,68.417,68.967,64570.0,63.8853,Down,Down,1,1.2690000000000055,0.0
2024-09-06,68.964,69.705,66.778,67.698,69222.0,63.28257,Down,Up,0,0.0,0.14000000000000057
2024-09-08,67.613,67.875,67.546,67.838,1222.0,63.10607,Down,Up,0,0.0,0.37300000000000466
2024-09-09,67.835,68.398,66.831,68.211,69440.0,62.89732,Down,Down,1,2.4440000000000026,0.0
2024-09-10,68.217,68.532,64.798,65.767,77109.0,,equal,Up,0,0.0,0.960000000000008
2024-09-11,65.764,67.348,65.138,66.727,79960.0,62.454445,equal,Up,0,0.0,1.9089999999999918
2024-09-12,66.723,69.121,66.707,68.636,67681.0,62.3221,Down,Down,1,0.15500000000000114,0.0
2024-09-13,68.644,69.531,67.75,68.481,56857.0,62.463684,Up,Down,0,0.0,0.4719999999999942
2024-09-15,68.328,68.538,68.004,68.009,851.0,62.586517,Up,Up,1,1.3539999999999992,0.0
2024-09-16,67.999,69.717,67.801,69.363,51014.0,62.642246,Up,Up,1,0.5930000000000035,0.0
2024-09-17,69.362,70.733,68.589,69.956,47614.0,62.8013,Up,Down,0,0.0,0.5660000000000025
2024-09-18,69.965,70.333,68.617,69.39,65315.0,62.92101,Up,Up,1,1.6189999999999998,0.0
2024-09-19,69.38,71.529,69.168,71.009,39771.0,63.03189,Up,Up,1,0.19499999999999318,0.0
2024-09-20,71.029,71.406,70.343,71.204,33327.0,63.281384,Up,Down,0,0.0,0.2709999999999866
2024-09-22,71.195,71.275,70.795,70.933,972.0,63.44408,Up,Down,0,0.0,0.42900000000000205
2024-09-23,70.934,71.691,69.391,70.504,49177.0,63.332554,Down,Up,0,0.0,0.9469999999999885
2024-09-24,70.504,72.264,70.332,71.451,46866.0,63.428253,Up,Down,0,0.0,1.992999999999995
2024-09-25,71.461,71.6,69.145,69.458,63414.0,63.302795,Down,Down,1,2.236000000000004,0.0
2024-09-26,69.468,69.88,66.844,67.222,87980.0,62.77404,Down,Up,0,0.0,1.2580000000000098
2024-09-27,67.223,68.504,66.942,68.48,68513.0,62.47868,Down,Down,1,0.375,0.0
2024-09-29,68.397,68.431,67.712,68.105,1872.0,62.37959,Down,Up,0,0.0,0.0519999999999925
2024-09-30,68.115,69.147,67.42,68.157,72567.0,62.300655,Down,Up,0,0.0,2.4440000000000026
2024-10-01,68.159,71.709,66.197,70.601,90468.0,,equal,Up,0,0.0,0.043000000000006366
2024-10-02,70.603,72.252,69.687,70.644,64562.0,62.8737,equal,Up,0,0.0,2.972999999999999
2024-10-03,70.634,73.819,70.34,73.617,71425.0,63.625526,Up,Up,1,0.5049999999999955,0.0
2024-10-04,73.609,75.2,73.218,74.122,68774.0,64.52781,Up,Down,0,0.0,0.5699999999999932
2024-10-06,73.991,73.991,73.281,73.552,2692.0,64.98147,Up,Up,1,3.265999999999991,0.0
2024-10-07,73.542,78.01,73.412,76.818,64164.0,,equal,Down,0,0.0,3.292999999999992
2024-10-08,76.824,76.978,72.356,73.525,90569.0,,equal,Down,0,0.0,0.5970000000000084
2024-10-09,73.535,74.044,71.231,72.928,86953.0,64.65629,equal,Up,0,0.0,2.2520000000000095
2024-10-10,72.931,75.706,72.921,75.18,67234.0,64.824745,Up,Down,0,0.0,0.20000000000000284
