,Open,High,Low,Close,Volume,Forcast
2023-08-07T00:00:00,82.62,82.91,81.26,82.12,21014,53.543247
2023-08-08T00:00:00,82.11,82.71,79.67,82.37,28342,52.357544
2023-08-09T00:00:00,82.38,84.15,82.3,83.76,25344,51.355076
2023-08-10T00:00:00,83.75,84.39,82.22,82.5,25567,50.655376
2023-08-11T00:00:00,82.49,83.33,81.87,82.6,25577,50.308544
2023-08-13T00:00:00,82.45,82.47,82.24,82.39,403,50.324566
2023-08-14T00:00:00,82.4,82.64,81.29,81.9,27486,49.99982
2023-08-15T00:00:00,81.91,82.42,80.03,80.64,30354,49.608078
2023-08-16T00:00:00,80.65,81.01,78.73,78.81,30761,49.40594
2023-08-17T00:00:00,78.8,80.64,78.64,79.62,25376,49.48721
2023-08-18T00:00:00,79.63,80.99,79.06,80.75,28788,49.714764
2023-08-20T00:00:00,80.49,80.66,80.48,80.58,544,50.101295
2023-08-21T00:00:00,80.57,81.72,79.95,80.09,27891,49.951504
2023-08-22T00:00:00,80.08,80.35,79.44,79.61,21257,49.55026
2023-08-23T00:00:00,79.62,79.87,77.59,78.59,25113,49.204426
2023-08-24T00:00:00,78.56,79.23,77.55,78.86,26167,48.949154
2023-08-25T00:00:00,78.85,80.36,78.1,79.97,30300,48.7739
2023-08-27T00:00:00,80.185,80.304,80.046,80.084,770,48.737175
2023-08-28T00:00:00,80.094,80.737,79.5,79.927,44647,48.391773
2023-08-29T00:00:00,79.928,81.298,79.226,81.2,44596,47.93562
2023-08-30T00:00:00,81.205,81.861,80.718,81.435,46855,47.486034
2023-08-31T00:00:00,81.443,83.42,81.296,83.331,45401,47.14782
2023-09-01T00:00:00,83.333,85.655,83.267,85.646,49852,46.16725
2023-09-03T00:00:00,85.353,85.588,85.318,85.426,858,45.322674
2023-09-04T00:00:00,85.428,85.716,84.865,85.39,26265,44.253933
2023-09-05T00:00:00,85.398,87.584,84.615,86.433,57754,43.29281
2023-09-06T00:00:00,86.428,87.594,85.567,87.221,51191,42.59149
2023-09-07T00:00:00,87.228,87.288,85.929,86.257,49929,42.212624
2023-09-08T00:00:00,86.263,87.446,85.726,86.782,49516,42.19653
2023-09-10T00:00:00,86.63,86.656,86.465,86.515,1382,42.630062
2023-09-11T00:00:00,86.52,87.646,86.264,86.791,54439,42.789375
2023-09-12T00:00:00,86.801,88.768,86.72,88.256,50671,42.916645
2023-09-13T00:00:00,88.261,89.039,87.759,88.155,52724,43.22808
