Date,High,Low,Close,DayNumber,Month_Number,DayMonth,Year,FFT_Mag_Open_150,FFT_Angl_Open_150
2001-01-09,27.75,26.899999618530273,27.71999931335449,1,100,9,2001,27.25,1.4262464154210759e-18
2001-01-10,29.60000038146973,27.70000076293945,29.5,2,100,10,2001,27.75,0.0
2001-01-11,29.899999618530273,28.979999542236328,29.5,3,100,11,2001,29.35000038146973,0.0
2001-01-12,30.20000076293945,29.3700008392334,30.04999923706055,4,100,12,2001,29.5,3.121211853584841e-18
2001-01-16,30.45000076293945,29.85000038146973,30.35000038146973,1,100,16,2001,30.10000038146973,0.0
2001-01-17,30.20000076293945,29.0,29.649999618530273,2,100,17,2001,29.799999237060547,0.0
2001-01-18,30.51000022888184,29.29999923706055,30.45000076293945,3,100,18,2001,29.85000038146973,2.014642537085567e-18
2001-01-19,32.400001525878906,30.20000076293945,32.09999847412109,4,100,19,2001,30.25,0.0
2001-01-22,32.700000762939446,31.75,32.0,0,100,22,2001,31.95000076293945,-2.917499680040329e-18
2001-01-23,29.68000030517578,29.0,29.56999969482422,1,100,23,2001,29.60000038146973,9.86068555290954e-19
2001-01-24,29.81999969482422,28.63999938964844,29.04999923706055,2,100,24,2001,28.899999618530273,0.0
2001-01-25,29.53000068664551,28.79999923706055,29.36000061035156,3,100,25,2001,29.000000000000004,0.0
2001-01-26,29.989999771118164,29.31999969482422,29.78000068664551,4,100,26,2001,29.420000076293945,2.822750128456476e-18
2001-01-29,30.149999618530273,28.86000061035156,29.059999465942386,0,100,29,2001,30.149999618530273,0.0
2001-01-30,29.34000015258789,28.68000030517578,29.059999465942386,1,100,30,2001,29.07999992370605,8.224841282389473e-19
2001-01-31,29.149999618530273,28.25,28.70000076293945,2,100,31,2001,29.000000000000004,3.4307119473380916e-18
2001-02-01,29.8700008392334,28.53000068664551,29.79999923706055,3,200,1,2001,28.95000076293945,3.2074401019635805e-18
2001-02-02,31.29999923706055,29.649999618530273,31.25,4,200,2,2001,29.729999542236328,0.0
