Date,Open,High,Low,Close,DayNumber,Month_Number,DayMonth,Year,FFT_Mag_Open_150,FFT_Angl_Open_150
2001-01-09,27.25,27.75,26.899999618530273,27.71999931335449,1,100,9,2001,27.25,1.426246415421076e-18
2001-01-10,27.75,29.60000038146973,27.70000076293945,29.5,2,100,10,2001,27.75,0.0
2001-01-11,29.35000038146973,29.899999618530273,28.979999542236328,29.5,3,100,11,2001,29.35000038146973,0.0
2001-01-12,29.5,30.20000076293945,29.3700008392334,30.04999923706055,4,100,12,2001,29.5,3.121211853584841e-18
2001-01-16,30.10000038146973,30.45000076293945,29.85000038146973,30.35000038146973,1,100,16,2001,30.100000381469727,0.0
2001-01-17,29.79999923706055,30.20000076293945,29.0,29.649999618530273,2,100,17,2001,29.799999237060543,0.0
2001-01-18,29.85000038146973,30.51000022888184,29.29999923706055,30.45000076293945,3,100,18,2001,29.850000381469727,2.014642537085567e-18
2001-01-19,30.25,32.400001525878906,30.20000076293945,32.09999847412109,4,100,19,2001,30.25,0.0
2001-01-22,31.95000076293945,32.700000762939446,31.75,32.0,0,100,22,2001,31.950000762939453,-2.9174996800403296e-18
2001-01-23,29.60000038146973,29.68000030517578,29.0,29.56999969482422,1,100,23,2001,29.60000038146973,9.86068555290954e-19
2001-01-24,28.899999618530273,29.81999969482422,28.63999938964844,29.04999923706055,2,100,24,2001,28.899999618530273,0.0
2001-01-25,29.0,29.53000068664551,28.79999923706055,29.36000061035156,3,100,25,2001,29.000000000000004,0.0
2001-01-26,29.420000076293945,29.989999771118164,29.31999969482422,29.78000068664551,4,100,26,2001,29.420000076293945,2.8227501284564765e-18
2001-01-29,30.149999618530273,30.149999618530273,28.86000061035156,29.059999465942386,0,100,29,2001,30.149999618530273,0.0
2001-01-30,29.07999992370605,29.34000015258789,28.68000030517578,29.059999465942386,1,100,30,2001,29.07999992370605,8.224841282389474e-19
2001-01-31,29.0,29.149999618530273,28.25,28.70000076293945,2,100,31,2001,29.000000000000004,3.430711947338092e-18
2001-02-01,28.95000076293945,29.8700008392334,28.53000068664551,29.79999923706055,3,200,1,2001,28.950000762939453,3.2074401019635812e-18
2001-02-02,29.729999542236328,31.29999923706055,29.649999618530273,31.25,4,200,2,2001,29.729999542236328,0.0
2001-02-05,31.04999923706055,31.04999923706055,30.20000076293945,30.5,0,200,5,2001,31.049999237060547,-3.341426226389908e-18
2001-02-06,30.649999618530273,30.899999618530273,30.15999984741211,30.35000038146973,1,200,6,2001,30.649999618530273,9.277474807017752e-19
2001-02-07,30.5,31.35000038146973,30.0,31.20000076293945,2,200,7,2001,30.499999999999996,-1.082272516056363e-18
2001-02-08,31.20000076293945,31.8799991607666,31.1200008392334,31.559999465942386,3,200,8,2001,31.200000762939453,1.4543846022777283e-17
2001-02-09,31.29999923706055,31.399999618530273,30.85000038146973,31.04999923706055,4,200,9,2001,31.29999923706055,-1.3909975510098156e-18
2001-02-12,30.70000076293945,31.04999923706055,30.399999618530273,30.54999923706055,0,200,12,2001,30.700000762939453,0.0
2001-02-13,30.29999923706055,30.399999618530273,29.71999931335449,30.34000015258789,1,200,13,2001,30.299999237060543,4.1094166904529345e-18
2001-02-14,30.32999992370605,30.8799991607666,29.649999618530273,29.75,2,200,14,2001,30.329999923706055,0.0
2001-02-15,29.29999923706055,29.399999618530273,28.54999923706055,28.79999923706055,3,200,15,2001,29.29999923706055,-1.8945785896486886e-18
2001-02-16,29.20000076293945,29.25,29.10000038146973,29.15999984741211,4,200,16,2001,29.200000762939446,-7.006245646067293e-18
2001-02-20,29.5,29.53000068664551,28.399999618530273,28.57999992370605,1,200,20,2001,29.499999999999996,-6.339497425110773e-19
2001-02-21,28.899999618530273,29.0,28.29999923706055,28.54999923706055,2,200,21,2001,28.899999618530273,6.383542566059391e-18
2001-02-22,28.85000038146973,29.20000076293945,28.35000038146973,28.81999969482422,3,200,22,2001,28.850000381469727,-6.104315013481251e-18
2001-02-23,29.0,29.020000457763672,29.0,29.0,4,200,23,2001,28.999999999999996,0.0
2001-02-26,28.76000022888184,28.940000534057607,28.399999618530273,28.440000534057607,0,200,26,2001,28.760000228881836,-5.233422382858746e-19
2001-02-27,28.0,28.35000038146973,27.709999084472656,28.1200008392334,1,200,27,2001,27.999999999999993,1.6333263562103326e-18
2001-02-28,28.149999618530273,28.20000076293945,27.34000015258789,27.420000076293945,2,200,28,2001,28.149999618530273,1.0293539025098703e-18
2001-03-01,27.45000076293945,27.88999938964844,27.149999618530273,27.649999618530273,3,300,1,2001,27.45000076293945,0.0
2001-03-02,27.690000534057607,28.20000076293945,27.60000038146973,27.84000015258789,4,300,2,2001,27.690000534057607,1.610091536229127e-18
2001-03-05,28.25,28.82999992370605,28.209999084472656,28.60000038146973,0,300,5,2001,28.25,0.0
2001-03-06,28.35000038146973,28.70000076293945,28.20000076293945,28.29999923706055,1,300,6,2001,28.350000381469734,5.613815188321975e-18
